account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"4GY9LD","SAN-JOSE-INTL",59,5231,5701,-470.2197,"5","SAN-JOSE-INTL",5981,-280,0.024,0.164,19,29sep2011,31mar2013,1250,179,.1224204,59,-.2239258,139,153,5521,0.017,0.290,29,29jan2009,01jun2011,1250,114,.0698166,59,-.2320489,88,87,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1
"FBDDJ3","NAPA-CO",59,3698,3380,317.342,"6","NAPA-CO",3535,-155,0.032,0.115,14,29feb2012,01apr2013,802,133,.1547402,59,-.1930489,107,124,3579,0.023,0.046,36,29jan2009,29dec2011,802,108,.1148967,59,.1478814,85,92,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1
"S812VL","SAN-JOSE-REID",59,10115,8885,1230.202,"8","SAN-JOSE-REID",9204,-319,0.053,0.093,19,11apr2012,11oct2013,1391,648,.1736765,59,-.2296036,467,242,10775,0.026,0.349,35,12jan2009,11jan2012,1391,350,.1127961,59,-.4742551,261,157,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1
"8WZD1Z","CONCORD",59,17131,13825,3306.332,"9","CONCORD",13899,-74,0.032,0.001,18,31oct2011,01apr2013,1679,496,.3049119,59,-.0442956,437,512,15441,0.030,0.251,30,01feb2009,04jul2011,1679,680,.3284673,59,1.006588,522,551,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1
"9IC5HT","MARYSVILLE-BEALE-AFB",60,16170,14704,1466.459,"1","MARYSVILLE-BEALE-AFB",11947,2757,0.040,0.631,14,16nov2011,16dec2012,2624,746,.2321188,60,1.050731,587,609,11744,0.022,0.829,30,17feb2009,19jul2011,2624,445,.1449577,60,1.686954,352,380,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1
"SEHDPS1526388264","SANDBERG",60,5450,4572,878.0757,"11b","SANDBERG",3951,621,0.107,0.195,16,10aug2012,12nov2013,1729,681,.1949881,60,.3592221,488,337,4257,0.050,0.374,43,11feb2008,11aug2011,1729,343,.1392633,60,.6896086,270,241,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",60,6951,6069,881.4204,"12b","LOS-ANGELES-DOWNTOWN",5085,984,0.057,0.338,22,29feb2012,26nov2013,1564,526,.1968164,60,.6291006,346,308,4880,0.062,0.383,44,28mar2008,27sep2011,1564,685,.2592407,60,1.324029,429,405,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",60,,,,"13","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526215611","VAN-NUYS",60,,,,"14","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",60,7870,7678,191.7207,"15","LOS-ANGELES-DOWNTOWN",6039,1640,0.055,0.407,27,27sep2011,26nov2013,1564,637,.2529026,60,1.048484,423,396,6842,0.074,0.081,42,28mar2008,28jul2011,1564,913,.3492358,60,.6576669,579,546,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
