account_number,date,kwh,iou,datenum
"6383593286","8/24/12",543,"SDGE",19229
"6383593286","9/25/12",1005,"SDGE",19261
"6383593286","10/24/12",604,"SDGE",19290
"6383593286","11/26/12",500,"SDGE",19323
"6383593286","12/26/12",452,"SDGE",19353
"6383593286","1/25/13",410,"SDGE",19383
"6383593286","2/26/13",409,"SDGE",19415
"8WZD1Z","12/31/08",,"PGE",17897
"8WZD1Z","2/1/09",1172,"PGE",17929
"8WZD1Z","3/3/09",1147,"PGE",17959
"8WZD1Z","4/2/09",1116,"PGE",17989
"8WZD1Z","5/3/09",1250,"PGE",18020
"8WZD1Z","6/2/09",1495,"PGE",18050
"8WZD1Z","7/1/09",1272,"PGE",18079
"8WZD1Z","8/3/09",1450,"PGE",18112
"8WZD1Z","8/31/09",1147,"PGE",18140
"8WZD1Z","9/30/09",1518,"PGE",18170
"8WZD1Z","10/29/09",909,"PGE",18199
"8WZD1Z","12/1/09",1176,"PGE",18232
"8WZD1Z","12/30/09",1161,"PGE",18261
"8WZD1Z","2/1/10",1674,"PGE",18294
"8WZD1Z","3/3/10",1244,"PGE",18324
"8WZD1Z","4/4/10",1086,"PGE",18356
"8WZD1Z","5/3/10",1099,"PGE",18385
"8WZD1Z","6/2/10",1304,"PGE",18415
"8WZD1Z","7/1/10",1669,"PGE",18444
"8WZD1Z","8/2/10",2059,"PGE",18476
"8WZD1Z","9/1/10",1496,"PGE",18506
"8WZD1Z","10/3/10",1616,"PGE",18538
"8WZD1Z","11/1/10",1581,"PGE",18567
"8WZD1Z","12/2/10",1800,"PGE",18598
"8WZD1Z","1/2/11",1548,"PGE",18629
"8WZD1Z","2/1/11",1152,"PGE",18659
"8WZD1Z","3/3/11",1051,"PGE",18689
"8WZD1Z","4/3/11",1191,"PGE",18720
"8WZD1Z","5/3/11",1474,"PGE",18750
"8WZD1Z","6/2/11",1099,"PGE",18780
"8WZD1Z","7/4/11",1784,"PGE",18812
"8WZD1Z","8/2/11",1565,"PGE",18841
"8WZD1Z","8/31/11",1242,"PGE",18870
"8WZD1Z","10/2/11",1068,"PGE",18902
"8WZD1Z","10/31/11",1090,"PGE",18931
"8WZD1Z","12/1/11",1334,"PGE",18962
"8WZD1Z","1/2/12",1278,"PGE",18994
"8WZD1Z","1/31/12",1043,"PGE",19023
"8WZD1Z","3/1/12",911,"PGE",19053
"8WZD1Z","4/1/12",1180,"PGE",19084
"8WZD1Z","5/1/12",1053,"PGE",19114
"8WZD1Z","5/31/12",1225,"PGE",19144
"8WZD1Z","7/1/12",1298,"PGE",19175
"8WZD1Z","7/31/12",1119,"PGE",19205
"8WZD1Z","8/29/12",983,"PGE",19234
"8WZD1Z","9/30/12",1042,"PGE",19266
"8WZD1Z","10/29/12",941,"PGE",19295
"8WZD1Z","11/29/12",993,"PGE",19326
"8WZD1Z","1/1/13",1307,"PGE",19359
"8WZD1Z","1/30/13",1106,"PGE",19388
"8WZD1Z","3/3/13",1333,"PGE",19420
"8WZD1Z","4/1/13",829,"PGE",19449
"9264652903","1/9/09",361,"SDGE",17906
"9264652903","2/9/09",283,"SDGE",17937
"9264652903","3/11/09",272,"SDGE",17967
"9264652903","4/9/09",221,"SDGE",17996
"9264652903","5/11/09",229,"SDGE",18028
"9264652903","6/10/09",190,"SDGE",18058
"9264652903","7/10/09",182,"SDGE",18088
"9264652903","8/10/09",461,"SDGE",18119
"9264652903","9/9/09",502,"SDGE",18149
"9264652903","10/8/09",326,"SDGE",18178
"9264652903","11/6/09",209,"SDGE",18207
"9264652903","12/9/09",372,"SDGE",18240
"9264652903","1/11/10",374,"SDGE",18273
"9264652903","2/9/10",359,"SDGE",18302
"9264652903","3/11/10",349,"SDGE",18332
"9264652903","4/9/10",267,"SDGE",18361
"9264652903","5/11/10",296,"SDGE",18393
"9264652903","6/10/10",258,"SDGE",18423
"9264652903","7/12/10",227,"SDGE",18455
"9264652903","8/10/10",317,"SDGE",18484
"9264652903","9/10/10",395,"SDGE",18515
"9264652903","10/11/10",317,"SDGE",18546
"9264652903","11/9/10",267,"SDGE",18575
"9264652903","12/9/10",367,"SDGE",18605
"9264652903","1/10/11",423,"SDGE",18637
"9264652903","2/9/11",331,"SDGE",18667
"9264652903","3/11/11",366,"SDGE",18697
"9264652903","4/11/11",340,"SDGE",18728
"9264652903","5/10/11",226,"SDGE",18757
"9264652903","6/10/11",285,"SDGE",18788
"9264652903","7/12/11",363,"SDGE",18820
"9264652903","8/10/11",305,"SDGE",18849
"9264652903","9/9/11",396,"SDGE",18879
"9264652903","10/10/11",266,"SDGE",18910
"9264652903","11/8/11",294,"SDGE",18939
"9264652903","12/8/11",367,"SDGE",18969
"9264652903","1/10/12",408,"SDGE",19002
"9264652903","2/8/12",345,"SDGE",19031
"9264652903","3/9/12",345,"SDGE",19061
"9264652903","4/9/12",306,"SDGE",19092
"9264652903","5/9/12",288,"SDGE",19122
"9264652903","6/8/12",230,"SDGE",19152
"9264652903","7/10/12",262,"SDGE",19184
"9264652903","8/8/12",295,"SDGE",19213
"9264652903","9/7/12",458,"SDGE",19243
"9264652903","10/8/12",356,"SDGE",19274
"9264652903","11/6/12",246,"SDGE",19303
"9264652903","12/7/12",320,"SDGE",19334
"9264652903","1/9/13",401,"SDGE",19367
"9264652903","2/7/13",323,"SDGE",19396
"9264652903","3/11/13",351,"SDGE",19428
"9608731398","1/23/09",749,"SDGE",17920
"9608731398","2/24/09",741,"SDGE",17952
"9608731398","3/25/09",648,"SDGE",17981
"9608731398","4/24/09",656,"SDGE",18011
"9608731398","5/26/09",600,"SDGE",18043
"9608731398","6/24/09",535,"SDGE",18072
"9608731398","7/24/09",533,"SDGE",18102
"9608731398","8/24/09",695,"SDGE",18133
"9608731398","9/23/09",936,"SDGE",18163
"9608731398","10/22/09",636,"SDGE",18192
"9608731398","11/23/09",700,"SDGE",18224
"9608731398","12/23/09",749,"SDGE",18254
"9608731398","1/25/10",878,"SDGE",18287
"9608731398","2/24/10",718,"SDGE",18317
"9608731398","3/25/10",621,"SDGE",18346
"9608731398","4/26/10",667,"SDGE",18378
"9608731398","5/25/10",592,"SDGE",18407
"9608731398","6/24/10",659,"SDGE",18437
"9608731398","7/26/10",769,"SDGE",18469
"9608731398","8/24/10",720,"SDGE",18498
"9608731398","9/24/10",668,"SDGE",18529
"9608731398","10/25/10",719,"SDGE",18560
"9608731398","11/23/10",679,"SDGE",18589
"9608731398","12/23/10",841,"SDGE",18619
"9608731398","1/25/11",846,"SDGE",18652
"9608731398","2/24/11",780,"SDGE",18682
"9608731398","3/25/11",687,"SDGE",18711
"9608731398","4/25/11",662,"SDGE",18742
"9608731398","5/25/11",644,"SDGE",18772
"9608731398","6/24/11",649,"SDGE",18802
"9608731398","7/26/11",833,"SDGE",18834
"9608731398","8/24/11",678,"SDGE",18863
"9608731398","9/23/11",817,"SDGE",18893
"9608731398","10/24/11",771,"SDGE",18924
"9608731398","11/22/11",779,"SDGE",18953
"9608731398","12/22/11",933,"SDGE",18983
"9608731398","1/24/12",985,"SDGE",19016
"9608731398","2/23/12",738,"SDGE",19046
"9608731398","3/23/12",698,"SDGE",19075
"9608731398","4/24/12",722,"SDGE",19107
"9608731398","5/23/12",578,"SDGE",19136
"9608731398","6/22/12",611,"SDGE",19166
"9608731398","7/24/12",678,"SDGE",19198
"9608731398","8/22/12",765,"SDGE",19227
"9608731398","9/21/12",892,"SDGE",19257
"9608731398","10/22/12",773,"SDGE",19288
"9608731398","11/20/12",622,"SDGE",19317
"9608731398","12/21/12",734,"SDGE",19348
"9608731398","1/23/13",849,"SDGE",19381
"9608731398","2/22/13",701,"SDGE",19411
"9IC5HT","1/16/09",,"PGE",17913
"9IC5HT","2/17/09",1195,"PGE",17945
"9IC5HT","3/18/09",855,"PGE",17974
"9IC5HT","4/19/09",829,"PGE",18006
"9IC5HT","5/18/09",1079,"PGE",18035
"9IC5HT","6/16/09",1027,"PGE",18064
"9IC5HT","7/19/09",1866,"PGE",18097
"9IC5HT","8/17/09",1811,"PGE",18126
"9IC5HT","9/16/09",1713,"PGE",18156
"9IC5HT","10/15/09",1151,"PGE",18185
"9IC5HT","11/16/09",949,"PGE",18217
"9IC5HT","12/16/09",1152,"PGE",18247
"9IC5HT","1/18/10",1194,"PGE",18280
"9IC5HT","2/17/10",892,"PGE",18310
"9IC5HT","3/21/10",901,"PGE",18342
"9IC5HT","4/19/10",843,"PGE",18371
"9IC5HT","5/18/10",778,"PGE",18400
"9IC5HT","6/17/10",1199,"PGE",18430
"9IC5HT","7/19/10",2129,"PGE",18462
"9IC5HT","8/18/10",1645,"PGE",18492
"9IC5HT","9/19/10",1681,"PGE",18524
"9IC5HT","10/18/10",1296,"PGE",18553
"9IC5HT","11/17/10",976,"PGE",18583
"9IC5HT","12/19/10",1264,"PGE",18615
"9IC5HT","1/18/11",1145,"PGE",18645
"9IC5HT","2/16/11",934,"PGE",18674
"9IC5HT","3/20/11",1086,"PGE",18706
"9IC5HT","4/19/11",940,"PGE",18736
"9IC5HT","5/18/11",907,"PGE",18765
"9IC5HT","6/19/11",1250,"PGE",18797
"9IC5HT","7/19/11",1842,"PGE",18827
"9IC5HT","8/17/11",1978,"PGE",18856
"9IC5HT","9/18/11",2064,"PGE",18888
"9IC5HT","10/17/11",1134,"PGE",18917
"9IC5HT","11/16/11",953,"PGE",18947
"9IC5HT","12/15/11",1157,"PGE",18976
"9IC5HT","1/17/12",1346,"PGE",19009
"9IC5HT","2/15/12",930,"PGE",19038
"9IC5HT","3/18/12",963,"PGE",19070
"9IC5HT","4/16/12",840,"PGE",19099
"9IC5HT","5/16/12",961,"PGE",19129
"E3RCZ8","1/15/10",,"PGE",18277
"E3RCZ8","2/12/10",343,"PGE",18305
"E3RCZ8","3/15/10",482,"PGE",18336
"E3RCZ8","4/16/10",396,"PGE",18368
"E3RCZ8","5/14/10",369,"PGE",18396
"E3RCZ8","6/14/10",361,"PGE",18427
"E3RCZ8","7/16/10",417,"PGE",18459
"E3RCZ8","8/16/10",403,"PGE",18490
"E3RCZ8","9/15/10",394,"PGE",18520
"E3RCZ8","10/14/10",358,"PGE",18549
"E3RCZ8","11/14/10",355,"PGE",18580
"E3RCZ8","12/14/10",418,"PGE",18610
"E3RCZ8","1/12/11",457,"PGE",18639
"E3RCZ8","2/13/11",399,"PGE",18671
"E3RCZ8","3/15/11",391,"PGE",18701
"E3RCZ8","4/14/11",351,"PGE",18731
"E3RCZ8","5/15/11",353,"PGE",18762
"E3RCZ8","6/14/11",449,"PGE",18792
"E3RCZ8","7/14/11",493,"PGE",18822
"E3RCZ8","8/14/11",287,"PGE",18853
"E3RCZ8","9/13/11",288,"PGE",18883
"E3RCZ8","10/12/11",400,"PGE",18912
"E3RCZ8","11/13/11",407,"PGE",18944
"E3RCZ8","12/12/11",455,"PGE",18973
"E3RCZ8","1/11/12",397,"PGE",19003
"E3RCZ8","2/12/12",471,"PGE",19035
"E3RCZ8","3/13/12",441,"PGE",19065
"E3RCZ8","4/11/12",405,"PGE",19094
"E3RCZ8","5/13/12",417,"PGE",19126
"E3RCZ8","6/12/12",362,"PGE",19156
"E3RCZ8","7/12/12",381,"PGE",19186
"E3RCZ8","8/12/12",416,"PGE",19217
"E3RCZ8","9/11/12",419,"PGE",19247
"E3RCZ8","10/10/12",341,"PGE",19276
"E3RCZ8","11/8/12",372,"PGE",19305
"E3RCZ8","12/11/12",497,"PGE",19338
"E3RCZ8","1/10/13",446,"PGE",19368
"E3RCZ8","2/11/13",525,"PGE",19400
"E3RCZ8","3/13/13",475,"PGE",19430
"E3RCZ8","4/11/13",399,"PGE",19459
"FBDDJ3","12/29/08",,"PGE",17895
"FBDDJ3","1/29/09",379,"PGE",17926
"FBDDJ3","3/2/09",303,"PGE",17958
"FBDDJ3","4/1/09",286,"PGE",17988
"FBDDJ3","4/29/09",264,"PGE",18016
"FBDDJ3","6/1/09",341,"PGE",18049
"FBDDJ3","6/30/09",325,"PGE",18078
"FBDDJ3","7/30/09",332,"PGE",18108
"FBDDJ3","8/30/09",370,"PGE",18139
"FBDDJ3","9/29/09",393,"PGE",18169
"FBDDJ3","10/28/09",255,"PGE",18198
"FBDDJ3","11/30/09",329,"PGE",18231
"FBDDJ3","12/29/09",318,"PGE",18260
"FBDDJ3","1/31/10",360,"PGE",18293
"FBDDJ3","3/1/10",292,"PGE",18322
"FBDDJ3","4/1/10",287,"PGE",18353
"FBDDJ3","5/2/10",295,"PGE",18384
"FBDDJ3","6/2/10",277,"PGE",18415
"FBDDJ3","6/30/10",251,"PGE",18443
"FBDDJ3","8/2/10",303,"PGE",18476
"FBDDJ3","8/31/10",278,"PGE",18505
"FBDDJ3","9/30/10",294,"PGE",18535
"FBDDJ3","11/1/10",216,"PGE",18567
"FBDDJ3","12/1/10",273,"PGE",18597
"FBDDJ3","1/2/11",345,"PGE",18629
"FBDDJ3","2/1/11",311,"PGE",18659
"FBDDJ3","3/1/11",278,"PGE",18687
"FBDDJ3","4/3/11",315,"PGE",18720
"FBDDJ3","5/2/11",241,"PGE",18749
"FBDDJ3","6/1/11",257,"PGE",18779
"FBDDJ3","6/30/11",242,"PGE",18808
"FBDDJ3","8/1/11",343,"PGE",18840
"FBDDJ3","8/30/11",235,"PGE",18869
"FBDDJ3","9/29/11",263,"PGE",18899
"FBDDJ3","10/31/11",232,"PGE",18931
"FBDDJ3","11/29/11",258,"PGE",18960
"FBDDJ3","12/29/11",298,"PGE",18990
"FBDDJ3","1/30/12",322,"PGE",19022
"FBDDJ3","2/29/12",289,"PGE",19052
"FBDDJ3","3/29/12",271,"PGE",19081
"FBDDJ3","4/30/12",267,"PGE",19113
"FBDDJ3","5/30/12",256,"PGE",19143
"FBDDJ3","6/28/12",280,"PGE",19172
"FBDDJ3","7/30/12",315,"PGE",19204
"FBDDJ3","8/29/12",237,"PGE",19234
"FBDDJ3","9/27/12",234,"PGE",19263
"FBDDJ3","10/28/12",224,"PGE",19294
"FBDDJ3","11/28/12",256,"PGE",19325
"FBDDJ3","12/30/12",322,"PGE",19357
"FBDDJ3","1/29/13",323,"PGE",19387
"FBDDJ3","2/28/13",298,"PGE",19417
"FBDDJ3","3/31/13",303,"PGE",19448
"GRUZBH","6/26/10",,"PGE",18439
"GRUZBH","8/11/10",,"PGE",18485
"GRUZBH","9/12/10",546,"PGE",18517
"GRUZBH","10/11/10",492,"PGE",18546
"GRUZBH","11/9/10",487,"PGE",18575
"GRUZBH","12/9/10",627,"PGE",18605
"GRUZBH","1/10/11",743,"PGE",18637
"GRUZBH","2/9/11",525,"PGE",18667
"GRUZBH","3/13/11",631,"PGE",18699
"GRUZBH","4/11/11",478,"PGE",18728
"GRUZBH","5/11/11",482,"PGE",18758
"GRUZBH","6/12/11",491,"PGE",18790
"GRUZBH","7/12/11",476,"PGE",18820
"GRUZBH","8/10/11",456,"PGE",18849
"GRUZBH","9/11/11",603,"PGE",18881
"GRUZBH","10/10/11",516,"PGE",18910
"GRUZBH","11/8/11",643,"PGE",18939
"GRUZBH","12/8/11",805,"PGE",18969
"GRUZBH","1/9/12",1048,"PGE",19001
"GRUZBH","2/8/12",572,"PGE",19031
"GRUZBH","3/11/12",641,"PGE",19063
"GRUZBH","4/9/12",533,"PGE",19092
"GRUZBH","5/9/12",490,"PGE",19122
"GRUZBH","6/10/12",540,"PGE",19154
"GRUZBH","7/10/12",508,"PGE",19184
"GRUZBH","8/8/12",487,"PGE",19213
"GRUZBH","9/9/12",560,"PGE",19245
"GRUZBH","10/8/12",432,"PGE",19274
"GRUZBH","11/6/12",499,"PGE",19303
"GRUZBH","12/9/12",636,"PGE",19336
"GRUZBH","1/8/13",735,"PGE",19366
"GRUZBH","2/7/13",589,"PGE",19396
"GRUZBH","3/11/13",633,"PGE",19428
"GRUZBH","4/9/13",521,"PGE",19457
"NKP4ZU","1/6/09",,"PGE",17903
"NKP4ZU","2/4/09",669,"PGE",17932
"NKP4ZU","3/8/09",819,"PGE",17964
"NKP4ZU","4/7/09",610,"PGE",17994
"NKP4ZU","5/6/09",589,"PGE",18023
"NKP4ZU","6/7/09",633,"PGE",18055
"NKP4ZU","7/7/09",643,"PGE",18085
"NKP4ZU","8/6/09",619,"PGE",18115
"NKP4ZU","9/3/09",583,"PGE",18143
"NKP4ZU","10/5/09",635,"PGE",18175
"NKP4ZU","11/3/09",688,"PGE",18204
"NKP4ZU","12/4/09",779,"PGE",18235
"NKP4ZU","1/5/10",1152,"PGE",18267
"NKP4ZU","2/4/10",821,"PGE",18297
"NKP4ZU","3/8/10",776,"PGE",18329
"NKP4ZU","4/7/10",739,"PGE",18359
"NKP4ZU","5/6/10",606,"PGE",18388
"NKP4ZU","6/7/10",756,"PGE",18420
"NKP4ZU","7/7/10",555,"PGE",18450
"NKP4ZU","8/8/10",721,"PGE",18482
"NKP4ZU","9/7/10",700,"PGE",18512
"NKP4ZU","10/6/10",671,"PGE",18541
"NKP4ZU","11/4/10",685,"PGE",18570
"NKP4ZU","12/7/10",943,"PGE",18603
"NKP4ZU","1/5/11",1041,"PGE",18632
"NKP4ZU","2/6/11",699,"PGE",18664
"NKP4ZU","3/8/11",788,"PGE",18694
"NKP4ZU","4/6/11",656,"PGE",18723
"NKP4ZU","5/8/11",650,"PGE",18755
"NKP4ZU","6/7/11",660,"PGE",18785
"NKP4ZU","7/7/11",721,"PGE",18815
"NKP4ZU","8/7/11",708,"PGE",18846
"NKP4ZU","9/6/11",584,"PGE",18876
"NKP4ZU","10/5/11",603,"PGE",18905
"NKP4ZU","11/3/11",645,"PGE",18934
"NKP4ZU","12/5/11",768,"PGE",18966
"NKP4ZU","1/5/12",1069,"PGE",18997
"NKP4ZU","2/5/12",716,"PGE",19028
"NKP4ZU","3/6/12",668,"PGE",19058
"NKP4ZU","4/4/12",641,"PGE",19087
"NKP4ZU","5/6/12",674,"PGE",19119
"NKP4ZU","6/5/12",647,"PGE",19149
"NKP4ZU","7/5/12",554,"PGE",19179
"NKP4ZU","8/5/12",669,"PGE",19210
"NKP4ZU","9/4/12",731,"PGE",19240
"NKP4ZU","10/3/12",576,"PGE",19269
"NKP4ZU","11/1/12",634,"PGE",19298
"NKP4ZU","12/4/12",862,"PGE",19331
"NKP4ZU","1/4/13",1021,"PGE",19362
"NKP4ZU","2/4/13",638,"PGE",19393
"NKP4ZU","3/6/13",615,"PGE",19423
"NKP4ZU","4/4/13",586,"PGE",19452
"NP7PRY","12/24/08",,"PGE",17890
"NP7PRY","1/25/09",1055,"PGE",17922
"NP7PRY","2/24/09",819,"PGE",17952
"NP7PRY","3/24/09",727,"PGE",17980
"NP7PRY","4/26/09",811,"PGE",18013
"NP7PRY","5/26/09",719,"PGE",18043
"NP7PRY","6/24/09",649,"PGE",18072
"NP7PRY","7/26/09",653,"PGE",18104
"NP7PRY","8/24/09",726,"PGE",18133
"NP7PRY","9/23/09",785,"PGE",18163
"NP7PRY","10/22/09",683,"PGE",18192
"NP7PRY","11/20/09",777,"PGE",18221
"NP7PRY","12/23/09",1052,"PGE",18254
"NP7PRY","1/25/10",1075,"PGE",18287
"NP7PRY","2/24/10",809,"PGE",18317
"NP7PRY","3/29/10",746,"PGE",18350
"NP7PRY","4/26/10",720,"PGE",18378
"NP7PRY","5/25/10",667,"PGE",18407
"NP7PRY","6/27/10",814,"PGE",18440
"NP7PRY","7/26/10",628,"PGE",18469
"NP7PRY","8/26/10",605,"PGE",18500
"NP7PRY","9/26/10",642,"PGE",18531
"NP7PRY","10/25/10",562,"PGE",18560
"NP7PRY","11/23/10",619,"PGE",18589
"NP7PRY","12/26/10",921,"PGE",18622
"NP7PRY","1/25/11",769,"PGE",18652
"NP7PRY","2/24/11",658,"PGE",18682
"NP7PRY","3/27/11",678,"PGE",18713
"NP7PRY","4/26/11",655,"PGE",18743
"NP7PRY","5/25/11",494,"PGE",18772
"NP7PRY","6/26/11",679,"PGE",18804
"NP7PRY","7/26/11",601,"PGE",18834
"NP7PRY","8/24/11",537,"PGE",18863
"NP7PRY","9/25/11",613,"PGE",18895
"NP7PRY","10/24/11",527,"PGE",18924
"NP7PRY","11/22/11",606,"PGE",18953
"NP7PRY","12/22/11",802,"PGE",18983
"NP7PRY","1/24/12",816,"PGE",19016
"NP7PRY","2/23/12",656,"PGE",19046
"NP7PRY","3/25/12",706,"PGE",19077
"NP7PRY","4/24/12",531,"PGE",19107
"NP7PRY","5/23/12",463,"PGE",19136
"NP7PRY","6/24/12",529,"PGE",19168
"NP7PRY","7/24/12",361,"PGE",19198
"NP7PRY","8/22/12",279,"PGE",19227
"NP7PRY","9/11/12",,"PGE",19247
"OVYM2X","12/22/08",,"PGE",17888
"OVYM2X","1/21/09",530,"PGE",17918
"OVYM2X","2/22/09",579,"PGE",17950
"OVYM2X","3/23/09",498,"PGE",17979
"OVYM2X","4/23/09",422,"PGE",18010
"OVYM2X","5/22/09",344,"PGE",18039
"OVYM2X","6/22/09",378,"PGE",18070
"OVYM2X","7/23/09",140,"PGE",18101
"OVYM2X","8/20/09",191,"PGE",18129
"OVYM2X","9/21/09",433,"PGE",18161
"OVYM2X","10/20/09",395,"PGE",18190
"OVYM2X","11/20/09",433,"PGE",18221
"OVYM2X","12/21/09",517,"PGE",18252
