account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",56,,,,"12b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",56,436,418,17.55301,"13",144,274,0.060,0.980,5,27aug2012,27dec2012,137,26,.1656697,56,2.001329,25,23,252,184,0.097,0.670,30,02mar2010,27jul2012,137,50,.178116,56,1.341755,42,24,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SGHDPS1526215611","VAN-NUYS",56,600,317,283.5441,"14",131,185,0.144,0.774,19,25jun2012,23dec2013,319,52,.0761518,56,.5812465,46,24,296,304,0.127,0.562,28,26feb2010,24may2012,319,98,.1649841,56,.9529716,76,53,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",56,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SEHDPS1526388512","VAN-NUYS",56,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1,"VAN-NUYS"
"9264652903","CAMP-PENDLETON",56,700,589,111.1808,"17",243,346,0.128,0.865,10,08jun2012,11mar2013,532,91,.0906165,56,.6497819,75,48,319,381,0.047,0.858,40,09feb2009,09may2012,532,43,.0472499,56,.7159531,33,25,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"5708455284","CAMP-PENDLETON",56,570,469,100.7557,"18b",249,220,0.040,0.971,11,08may2012,08mar2013,532,23,.0240526,56,.4141613,19,13,331,239,0.065,0.866,15,08feb2011,06apr2012,532,50,.0488912,56,.4490052,37,26,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1,"CAMP-PENDLETON"
"9069281964","SAN-DIEGO-MONTGOMER",56,476,321,155.4314,"19b",199,121,0.057,0.963,11,07may2012,07mar2013,210,21,.0374973,56,.5778877,18,8,250,226,0.041,0.871,39,05feb2009,05apr2012,210,25,.0682991,56,1.078295,20,14,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
"E3RCZ8","LIVERMORE",56,716,340,376.0981,"2",115,225,0.045,0.941,22,15jul2011,11apr2013,1127,20,.0111961,56,.1993582,15,13,237,479,0.088,0.816,17,12feb2010,14jun2011,1127,88,.0521292,56,.4250994,63,59,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1,"LIVERMORE"
"9608731398","SAN-DIEGO-MONTGOMER",56,449,345,103.5936,"20",201,144,0.116,0.919,10,23may2012,22feb2013,210,45,.071568,56,.6841162,40,15,247,202,0.043,0.857,39,24feb2009,24apr2012,210,25,.0645747,56,.9615694,19,14,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1,"SAN-DIEGO-MONTGOMER"
