account_id,station_name,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid
"SEHDPS1526388195","VAN-NUYS",11275,8920,2354.341,,"VAN-NUYS",8544,376,0.036,0.085,26,05oct2011,05nov2013,1359,434,.1855749,65,.2767305,324,252,11164,0.041,0.002,44,05feb2008,02sep2011,1359,635,.3030861,65,.0814219,462,412,"SCE","SEHDPS1526388195",9,91320,"",,"9/10/2011","9/10/2011","VAN-NUYS_722886",722886,1
"SEHDPS1526388196","LONG-BEACH",6211,5527,683.9346,,"LONG-BEACH",5222,305,0.052,0.173,26,25oct2011,22nov2013,535,352,.2540318,65,.5696607,289,136,6265,0.068,0.001,44,25mar2008,22sep2011,535,542,.4784059,65,-.100597,422,256,"SCE","SEHDPS1526388196",8,90712,"",,"9/23/2011","9/23/2011","LONG-BEACH_722970",722970,1
"SEHDPS1526388203","LOS-ANGELES-DOWNTOWN",8393,7535,857.835,,"LOS-ANGELES-DOWNTOWN",6981,554,0.060,0.156,24,28sep2011,29oct2013,640,574,.4298321,65,.8660075,453,275,8373,0.029,0.000,43,29feb2008,29aug2011,640,327,.233508,65,.0313101,246,149,"SCE","SEHDPS1526388203",9,91030,"",,"9/13/2011","9/13/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388204","LOS-ALAMITOS",12049,9125,2923.449,,"LOS-ALAMITOS",8829,296,0.040,0.037,25,21nov2011,20nov2013,863,429,.3677176,65,.3434532,361,317,11547,0.035,0.027,45,20mar2008,21oct2011,863,526,.5301834,65,.5807823,425,458,"SCE","SEHDPS1526388204",8,90630,"",,"11/1/2011","11/1/2011","LOS-ALAMITOS_722975",722975,1
"SEHDPS1526388207","LOS-ANGELES-DOWNTOWN",10525,8961,1563.493,,"LOS-ANGELES-DOWNTOWN",7689,1273,0.045,0.552,25,14nov2011,12nov2013,640,504,.3734148,65,1.988577,405,239,10105,0.035,0.076,45,12feb2008,13oct2011,640,487,.3492664,65,.65576,366,224,"SCE","SEHDPS1526388207",9,91104,"",,"10/24/2011","10/24/11","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388260","LOS-ANGELES-DOWNTOWN",6726,7044,-318.6641,,"LOS-ANGELES-DOWNTOWN",6569,475,0.032,0.638,9,03jan2012,29aug2012,640,257,.2115998,65,.7425066,224,135,5984,0.116,0.056,34,01may2008,02dec2011,640,1085,.839075,65,1.1588,782,537,"SCE","SEHDPS1526388260",9,91711,"",,"12/8/2011","12/8/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388264","LOS-ANGELES-DOWNTOWN",4918,4270,648.21,,"LOS-ANGELES-DOWNTOWN",3584,686,0.095,0.424,17,12jul2012,12nov2013,640,527,.3224433,65,1.071334,404,206,3942,0.045,0.479,53,11feb2008,12jun2012,640,287,.2226482,65,1.524181,222,142,"SCE","SEHDPS1526388264",9,91016,"",,"7/3/2012","7/3/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388284","TORRANCE",7544,7281,263.8291,,"TORRANCE",7422,-141,0.047,0.149,17,10jul2012,07nov2013,481,411,.1809493,65,-.2937569,345,87,7629,0.053,0.005,53,11mar2008,08jun2012,481,507,.3632509,65,-.1754417,397,175,"SCE","SEHDPS1526388284",6,90717,"",,"6/18/2012","6/18/2012","TORRANCE_722955",722955,1
"SEHDPS1526388315","TORRANCE",7062,6513,549.5273,,"TORRANCE",6734,-221,0.026,0.488,23,30jan2012,26nov2013,481,201,.1026172,65,-.4590899,167,49,7454,0.034,0.240,47,28feb2008,29dec2011,481,307,.2159497,65,-.8136041,240,104,"SCE","SEHDPS1526388315",6,90277,"",,"1/17/2012","1/17/2012","TORRANCE_722955",722955,1
"SEHDPS1526388347","LOS-ANGELES-DOWNTOWN",2819,7572,-4753.22,,"LOS-ANGELES-DOWNTOWN",6269,1303,0.045,0.668,24,29dec2011,26nov2013,640,424,.3060687,65,2.036646,338,196,3419,0.555,0.007,15,28sep2010,30nov2011,640,3209,3.140899,65,-.9371277,1566,2010,"SCE","SEHDPS1526388347",9,91724,"",,"12/27/2011","12/27/11","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",7129,6091,1038.06,,"LOS-ANGELES-DOWNTOWN",5457,634,0.056,0.357,22,29feb2012,26nov2013,640,430,.2971869,65,.9906058,339,190,5804,0.056,0.375,48,28mar2008,30jan2012,640,529,.3940272,65,2.06958,397,252,"SCE","SEHDPS1526388359",9,91724,"",,"2/29/2012","2/29/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388380","SANTA-BARBARA",8567,8611,-44.2373,,"SANTA-BARBARA",8689,-77,0.034,0.312,22,17feb2012,15nov2013,25,306,1.027367,65,-3.092926,293,26,8630,0.023,0.124,48,19feb2008,18jan2012,25,209,.9879783,65,-2.518059,198,25,"SCE","SEHDPS1526388380",6,93111,"",,"2/13/2012","2/13/2012","SANTA-BARBARA_723925",723925,1
