account_number,date,therms,iou,datenum
"6383593286","2/26/10",45,"SDGE",18319
"6383593286","3/29/10",43,"SDGE",18350
"6383593286","4/28/10",29,"SDGE",18380
"6383593286","5/27/10",20,"SDGE",18409
"6383593286","6/28/10",16,"SDGE",18441
"6383593286","7/28/10",15,"SDGE",18471
"6383593286","8/26/10",13,"SDGE",18500
"6383593286","9/28/10",14,"SDGE",18533
"6383593286","10/27/10",14,"SDGE",18562
"6383593286","11/26/10",24,"SDGE",18592
"6383593286","12/28/10",51,"SDGE",18624
"6383593286","1/27/11",52,"SDGE",18654
"6383593286","2/28/11",53,"SDGE",18686
"6383593286","3/29/11",34,"SDGE",18715
"6383593286","4/27/11",24,"SDGE",18744
"6383593286","5/27/11",21,"SDGE",18774
"6383593286","6/28/11",18,"SDGE",18806
"6383593286","7/28/11",14,"SDGE",18836
"6383593286","8/26/11",13,"SDGE",18865
"6383593286","9/27/11",13,"SDGE",18897
"6383593286","10/26/11",14,"SDGE",18926
"6383593286","11/25/11",31,"SDGE",18956
"6383593286","12/27/11",43,"SDGE",18988
"6383593286","1/26/12",44,"SDGE",19018
"6383593286","2/27/12",41,"SDGE",19050
"6383593286","3/27/12",36,"SDGE",19079
"6383593286","4/26/12",30,"SDGE",19109
"6383593286","5/25/12",15,"SDGE",19138
"6383593286","6/26/12",15,"SDGE",19170
"6383593286","7/26/12",12,"SDGE",19200
"6383593286","8/24/12",9,"SDGE",19229
"6383593286","9/25/12",12,"SDGE",19261
"6383593286","10/24/12",16,"SDGE",19290
"6383593286","11/26/12",29,"SDGE",19323
"6383593286","12/26/12",48,"SDGE",19353
"6383593286","1/25/13",43,"SDGE",19383
"6383593286","2/26/13",35,"SDGE",19415
"8WZD1Z","12/31/08",,"PGE",17897
"8WZD1Z","2/1/09",126,"PGE",17929
"8WZD1Z","3/3/09",90,"PGE",17959
"8WZD1Z","4/2/09",59,"PGE",17989
"8WZD1Z","5/3/09",40,"PGE",18020
"8WZD1Z","6/2/09",14,"PGE",18050
"8WZD1Z","7/1/09",12,"PGE",18079
"8WZD1Z","8/3/09",14,"PGE",18112
"8WZD1Z","8/31/09",11,"PGE",18140
"8WZD1Z","10/1/09",13,"PGE",18171
"8WZD1Z","10/29/09",11,"PGE",18199
"8WZD1Z","12/1/09",135,"PGE",18232
"8WZD1Z","12/30/09",137,"PGE",18261
"8WZD1Z","2/1/10",153,"PGE",18294
"8WZD1Z","3/4/10",93,"PGE",18325
"8WZD1Z","4/5/10",97,"PGE",18357
"8WZD1Z","5/4/10",48,"PGE",18386
"8WZD1Z","6/2/10",30,"PGE",18415
"8WZD1Z","7/1/10",21,"PGE",18444
"8WZD1Z","8/3/10",20,"PGE",18477
"8WZD1Z","9/1/10",21,"PGE",18506
"8WZD1Z","10/3/10",15,"PGE",18538
"8WZD1Z","11/1/10",34,"PGE",18567
"8WZD1Z","12/2/10",110,"PGE",18598
"8WZD1Z","1/2/11",92,"PGE",18629
"8WZD1Z","2/2/11",141,"PGE",18660
"8WZD1Z","3/4/11",120,"PGE",18690
"8WZD1Z","4/3/11",75,"PGE",18720
"8WZD1Z","5/3/11",45,"PGE",18750
"8WZD1Z","6/3/11",35,"PGE",18781
"8WZD1Z","7/4/11",24,"PGE",18812
"8WZD1Z","8/2/11",18,"PGE",18841
"8WZD1Z","8/31/11",18,"PGE",18870
"8WZD1Z","10/2/11",17,"PGE",18902
"8WZD1Z","10/31/11",25,"PGE",18931
"8WZD1Z","12/1/11",66,"PGE",18962
"8WZD1Z","1/2/12",97,"PGE",18994
"8WZD1Z","1/31/12",66,"PGE",19023
"8WZD1Z","3/1/12",68,"PGE",19053
"8WZD1Z","4/1/12",60,"PGE",19084
"8WZD1Z","5/1/12",26,"PGE",19114
"8WZD1Z","5/31/12",11,"PGE",19144
"8WZD1Z","7/1/12",9,"PGE",19175
"8WZD1Z","7/31/12",7,"PGE",19205
"8WZD1Z","8/29/12",6,"PGE",19234
"8WZD1Z","9/30/12",7,"PGE",19266
"8WZD1Z","10/29/12",11,"PGE",19295
"8WZD1Z","11/29/12",49,"PGE",19326
"8WZD1Z","1/1/13",98,"PGE",19359
"8WZD1Z","1/30/13",104,"PGE",19388
"8WZD1Z","3/3/13",88,"PGE",19420
"8WZD1Z","4/1/13",46,"PGE",19449
"9264652903","1/9/09",154,"SDGE",17906
"9264652903","2/9/09",83,"SDGE",17937
"9264652903","3/11/09",87,"SDGE",17967
"9264652903","4/9/09",54,"SDGE",17996
"9264652903","5/11/09",38,"SDGE",18028
"9264652903","6/10/09",14,"SDGE",18058
"9264652903","7/10/09",10,"SDGE",18088
"9264652903","8/10/09",9,"SDGE",18119
"9264652903","9/9/09",8,"SDGE",18149
"9264652903","10/8/09",12,"SDGE",18178
"9264652903","11/6/09",35,"SDGE",18207
"9264652903","12/9/09",90,"SDGE",18240
"9264652903","1/11/10",131,"SDGE",18273
"9264652903","2/9/10",120,"SDGE",18302
"9264652903","3/11/10",106,"SDGE",18332
"9264652903","4/9/10",56,"SDGE",18361
"9264652903","5/11/10",53,"SDGE",18393
"9264652903","6/10/10",25,"SDGE",18423
"9264652903","7/12/10",15,"SDGE",18455
"9264652903","8/10/10",9,"SDGE",18484
"9264652903","9/10/10",9,"SDGE",18515
"9264652903","10/11/10",20,"SDGE",18546
"9264652903","11/9/10",51,"SDGE",18575
"9264652903","12/9/10",127,"SDGE",18605
"9264652903","1/10/11",146,"SDGE",18637
"9264652903","2/9/11",104,"SDGE",18667
"9264652903","3/11/11",107,"SDGE",18697
"9264652903","4/11/11",80,"SDGE",18728
"9264652903","5/10/11",32,"SDGE",18757
"9264652903","6/10/11",53,"SDGE",18788
"9264652903","7/12/11",12,"SDGE",18820
"9264652903","8/10/11",7,"SDGE",18849
"9264652903","9/9/11",8,"SDGE",18879
"9264652903","10/10/11",20,"SDGE",18910
"9264652903","11/8/11",49,"SDGE",18939
"9264652903","12/8/11",105,"SDGE",18969
"9264652903","1/10/12",135,"SDGE",19002
"9264652903","2/8/12",107,"SDGE",19031
"9264652903","3/9/12",105,"SDGE",19061
"9264652903","4/9/12",88,"SDGE",19092
"9264652903","5/9/12",55,"SDGE",19122
"9264652903","6/8/12",18,"SDGE",19152
"9264652903","7/10/12",10,"SDGE",19184
"9264652903","8/8/12",6,"SDGE",19213
"9264652903","9/7/12",5,"SDGE",19243
"9264652903","10/8/12",6,"SDGE",19274
"9264652903","11/6/12",29,"SDGE",19303
"9264652903","12/7/12",78,"SDGE",19334
"9264652903","1/9/13",133,"SDGE",19367
"9264652903","2/7/13",106,"SDGE",19396
"9264652903","3/11/13",109,"SDGE",19428
"9608731398","1/23/09",59,"SDGE",17920
"9608731398","2/24/09",65,"SDGE",17952
"9608731398","3/25/09",45,"SDGE",17981
"9608731398","4/24/09",31,"SDGE",18011
"9608731398","5/26/09",21,"SDGE",18043
"9608731398","6/24/09",16,"SDGE",18072
"9608731398","7/24/09",8,"SDGE",18102
"9608731398","8/24/09",8,"SDGE",18133
"9608731398","9/23/09",6,"SDGE",18163
"9608731398","10/22/09",13,"SDGE",18192
"9608731398","11/23/09",36,"SDGE",18224
"9608731398","12/23/09",60,"SDGE",18254
"9608731398","1/25/10",83,"SDGE",18287
"9608731398","2/24/10",50,"SDGE",18317
"9608731398","3/25/10",49,"SDGE",18346
"9608731398","4/26/10",36,"SDGE",18378
"9608731398","5/25/10",26,"SDGE",18407
"9608731398","6/24/10",19,"SDGE",18437
"9608731398","7/26/10",16,"SDGE",18469
"9608731398","8/24/10",10,"SDGE",18498
"9608731398","9/24/10",13,"SDGE",18529
"9608731398","10/25/10",19,"SDGE",18560
"9608731398","11/23/10",36,"SDGE",18589
"9608731398","12/23/10",75,"SDGE",18619
"9608731398","1/25/11",107,"SDGE",18652
"9608731398","2/24/11",66,"SDGE",18682
"9608731398","3/25/11",54,"SDGE",18711
"9608731398","4/25/11",36,"SDGE",18742
"9608731398","5/25/11",26,"SDGE",18772
"9608731398","6/24/11",23,"SDGE",18802
"9608731398","7/26/11",10,"SDGE",18834
"9608731398","8/24/11",9,"SDGE",18863
"9608731398","9/23/11",10,"SDGE",18893
"9608731398","10/24/11",20,"SDGE",18924
"9608731398","11/22/11",47,"SDGE",18953
"9608731398","12/22/11",86,"SDGE",18983
"9608731398","1/24/12",84,"SDGE",19016
"9608731398","2/23/12",56,"SDGE",19046
"9608731398","3/23/12",56,"SDGE",19075
"9608731398","4/24/12",47,"SDGE",19107
"9608731398","5/23/12",21,"SDGE",19136
"9608731398","6/22/12",16,"SDGE",19166
"9608731398","7/24/12",10,"SDGE",19198
"9608731398","8/22/12",6,"SDGE",19227
"9608731398","9/21/12",7,"SDGE",19257
"9608731398","10/22/12",10,"SDGE",19288
"9608731398","11/20/12",28,"SDGE",19317
"9608731398","12/21/12",52,"SDGE",19348
"9608731398","1/23/13",108,"SDGE",19381
"9608731398","2/22/13",76,"SDGE",19411
"9IC5HT","1/16/09",,"PGE",17913
"9IC5HT","2/17/09",152,"PGE",17945
"9IC5HT","3/18/09",84,"PGE",17974
"9IC5HT","4/19/09",57,"PGE",18006
"9IC5HT","5/18/09",34,"PGE",18035
"9IC5HT","6/16/09",31,"PGE",18064
"9IC5HT","7/19/09",21,"PGE",18097
"9IC5HT","8/17/09",23,"PGE",18126
"9IC5HT","9/16/09",28,"PGE",18156
"9IC5HT","10/15/09",27,"PGE",18185
"9IC5HT","11/16/09",60,"PGE",18217
"9IC5HT","12/16/09",171,"PGE",18247
"9IC5HT","1/18/10",172,"PGE",18280
"9IC5HT","2/17/10",109,"PGE",18310
"9IC5HT","3/21/10",108,"PGE",18342
"9IC5HT","4/19/10",85,"PGE",18371
"9IC5HT","5/18/10",51,"PGE",18400
"9IC5HT","6/17/10",40,"PGE",18430
"9IC5HT","7/19/10",29,"PGE",18462
"9IC5HT","8/18/10",27,"PGE",18492
"9IC5HT","9/19/10",37,"PGE",18524
"9IC5HT","10/18/10",33,"PGE",18553
"9IC5HT","11/17/10",62,"PGE",18583
"9IC5HT","12/19/10",154,"PGE",18615
"9IC5HT","1/18/11",154,"PGE",18645
"9IC5HT","2/16/11",120,"PGE",18674
"9IC5HT","3/20/11",137,"PGE",18706
"9IC5HT","4/19/11",83,"PGE",18736
"9IC5HT","5/18/11",54,"PGE",18765
"9IC5HT","6/19/11",51,"PGE",18797
"9IC5HT","7/19/11",33,"PGE",18827
"9IC5HT","8/17/11",29,"PGE",18856
"9IC5HT","9/18/11",31,"PGE",18888
"9IC5HT","10/17/11",30,"PGE",18917
"9IC5HT","11/16/11",57,"PGE",18947
"9IC5HT","12/15/11",113,"PGE",18976
"9IC5HT","1/17/12",146,"PGE",19009
"9IC5HT","2/15/12",110,"PGE",19038
"9IC5HT","3/18/12",116,"PGE",19070
"9IC5HT","4/16/12",78,"PGE",19099
"9IC5HT","5/16/12",41,"PGE",19129
"9IC5HT","6/17/12",40,"PGE",19161
"9IC5HT","7/17/12",30,"PGE",19191
"9IC5HT","8/15/12",25,"PGE",19220
"9IC5HT","9/16/12",30,"PGE",19252
"9IC5HT","10/15/12",24,"PGE",19281
"9IC5HT","11/14/12",58,"PGE",19311
"9IC5HT","12/16/12",134,"PGE",19343
"9IC5HT","1/15/13",182,"PGE",19373
"9IC5HT","2/14/13",103,"PGE",19403
"9IC5HT","3/18/13",86,"PGE",19435
"9IC5HT","4/17/13",56,"PGE",19465
"E3RCZ8","1/15/10",,"PGE",18277
"E3RCZ8","2/12/10",159,"PGE",18305
"E3RCZ8","3/15/10",106,"PGE",18336
"E3RCZ8","4/16/10",74,"PGE",18368
"E3RCZ8","5/14/10",44,"PGE",18396
"E3RCZ8","6/14/10",28,"PGE",18427
"E3RCZ8","7/16/10",8,"PGE",18459
"E3RCZ8","8/16/10",6,"PGE",18490
"E3RCZ8","9/15/10",7,"PGE",18520
"E3RCZ8","10/14/10",10,"PGE",18549
"E3RCZ8","11/14/10",45,"PGE",18580
"E3RCZ8","12/14/10",94,"PGE",18610
"E3RCZ8","1/12/11",119,"PGE",18639
"E3RCZ8","2/14/11",97,"PGE",18672
"E3RCZ8","3/15/11",91,"PGE",18701
"E3RCZ8","4/17/11",68,"PGE",18734
"E3RCZ8","5/15/11",31,"PGE",18762
"E3RCZ8","6/14/11",30,"PGE",18792
"E3RCZ8","7/15/11",8,"PGE",18823
"E3RCZ8","8/14/11",0,"PGE",18853
"E3RCZ8","9/13/11",1,"PGE",18883
"E3RCZ8","10/12/11",9,"PGE",18912
"E3RCZ8","11/13/11",24,"PGE",18944
"E3RCZ8","12/12/11",51,"PGE",18973
"E3RCZ8","1/11/12",59,"PGE",19003
"E3RCZ8","2/12/12",57,"PGE",19035
"E3RCZ8","3/13/12",40,"PGE",19065
"E3RCZ8","4/11/12",39,"PGE",19094
"E3RCZ8","5/13/12",16,"PGE",19126
"E3RCZ8","6/12/12",9,"PGE",19156
"E3RCZ8","7/12/12",6,"PGE",19186
"E3RCZ8","8/12/12",4,"PGE",19217
"E3RCZ8","9/11/12",6,"PGE",19247
"E3RCZ8","10/10/12",5,"PGE",19276
"E3RCZ8","11/8/12",17,"PGE",19305
"E3RCZ8","12/11/12",43,"PGE",19338
"E3RCZ8","1/10/13",68,"PGE",19368
"E3RCZ8","2/11/13",69,"PGE",19400
"E3RCZ8","3/13/13",43,"PGE",19430
"E3RCZ8","4/11/13",19,"PGE",19459
"FBDDJ3","12/29/08",,"PGE",17895
"FBDDJ3","1/29/09",117,"PGE",17926
"FBDDJ3","3/2/09",81,"PGE",17958
"FBDDJ3","4/1/09",56,"PGE",17988
"FBDDJ3","4/29/09",24,"PGE",18016
"FBDDJ3","6/1/09",26,"PGE",18049
"FBDDJ3","6/30/09",6,"PGE",18078
"FBDDJ3","7/30/09",6,"PGE",18108
"FBDDJ3","8/30/09",6,"PGE",18139
"FBDDJ3","9/29/09",5,"PGE",18169
"FBDDJ3","10/28/09",15,"PGE",18198
"FBDDJ3","11/30/09",59,"PGE",18231
"FBDDJ3","12/29/09",114,"PGE",18260
"FBDDJ3","1/31/10",111,"PGE",18293
"FBDDJ3","3/1/10",71,"PGE",18322
"FBDDJ3","4/1/10",59,"PGE",18353
"FBDDJ3","5/2/10",54,"PGE",18384
"FBDDJ3","6/2/10",31,"PGE",18415
"FBDDJ3","6/30/10",7,"PGE",18443
"FBDDJ3","8/2/10",7,"PGE",18476
"FBDDJ3","8/31/10",5,"PGE",18505
"FBDDJ3","9/30/10",6,"PGE",18535
"FBDDJ3","11/1/10",23,"PGE",18567
"FBDDJ3","12/1/10",62,"PGE",18597
"FBDDJ3","1/2/11",113,"PGE",18629
"FBDDJ3","2/1/11",123,"PGE",18659
"FBDDJ3","3/1/11",105,"PGE",18687
"FBDDJ3","4/3/11",84,"PGE",18720
"FBDDJ3","5/2/11",45,"PGE",18749
"FBDDJ3","6/1/11",36,"PGE",18779
"FBDDJ3","6/30/11",15,"PGE",18808
"FBDDJ3","8/1/11",7,"PGE",18840
"FBDDJ3","8/30/11",5,"PGE",18869
"FBDDJ3","9/29/11",7,"PGE",18899
"FBDDJ3","10/31/11",22,"PGE",18931
"FBDDJ3","11/29/11",73,"PGE",18960
"FBDDJ3","12/29/11",130,"PGE",18990
"FBDDJ3","1/30/12",123,"PGE",19022
"FBDDJ3","2/29/12",67,"PGE",19052
"FBDDJ3","3/29/12",55,"PGE",19081
"FBDDJ3","4/30/12",27,"PGE",19113
"FBDDJ3","5/30/12",14,"PGE",19143
"FBDDJ3","6/28/12",9,"PGE",19172
"FBDDJ3","7/30/12",8,"PGE",19204
"FBDDJ3","8/29/12",5,"PGE",19234
"FBDDJ3","9/27/12",11,"PGE",19263
"FBDDJ3","10/28/12",16,"PGE",19294
"FBDDJ3","11/28/12",41,"PGE",19325
"FBDDJ3","12/30/12",85,"PGE",19357
"FBDDJ3","1/29/13",104,"PGE",19387
"FBDDJ3","2/28/13",76,"PGE",19417
"FBDDJ3","3/31/13",47,"PGE",19448
"GRUZBH","6/26/10",,"PGE",18439
"GRUZBH","8/11/10",,"PGE",18485
"GRUZBH","9/12/10",19,"PGE",18517
"GRUZBH","10/11/10",16,"PGE",18546
"GRUZBH","11/9/10",35,"PGE",18575
"GRUZBH","12/12/10",110,"PGE",18608
"GRUZBH","1/10/11",112,"PGE",18637
"GRUZBH","2/9/11",76,"PGE",18667
"GRUZBH","3/13/11",89,"PGE",18699
"GRUZBH","4/11/11",57,"PGE",18728
"GRUZBH","5/11/11",25,"PGE",18758
"GRUZBH","6/12/11",26,"PGE",18790
"GRUZBH","7/12/11",10,"PGE",18820
"GRUZBH","8/10/11",8,"PGE",18849
"GRUZBH","9/11/11",8,"PGE",18881
"GRUZBH","10/10/11",8,"PGE",18910
"GRUZBH","11/8/11",10,"PGE",18939
"GRUZBH","12/8/11",11,"PGE",18969
"GRUZBH","1/9/12",30,"PGE",19001
"GRUZBH","2/8/12",72,"PGE",19031
"GRUZBH","3/11/12",64,"PGE",19063
"GRUZBH","4/9/12",47,"PGE",19092
"GRUZBH","5/9/12",18,"PGE",19122
"GRUZBH","6/10/12",8,"PGE",19154
"GRUZBH","7/10/12",4,"PGE",19184
"GRUZBH","8/8/12",3,"PGE",19213
"GRUZBH","9/9/12",5,"PGE",19245
"GRUZBH","10/8/12",5,"PGE",19274
"GRUZBH","11/6/12",20,"PGE",19303
"GRUZBH","12/9/12",54,"PGE",19336
"GRUZBH","1/8/13",87,"PGE",19366
"GRUZBH","2/7/13",78,"PGE",19396
"GRUZBH","3/11/13",63,"PGE",19428
"GRUZBH","4/9/13",24,"PGE",19457
"NKP4ZU","1/6/09",,"PGE",17903
"NKP4ZU","2/4/09",89,"PGE",17932
"NKP4ZU","3/8/09",111,"PGE",17964
"NKP4ZU","4/7/09",62,"PGE",17994
"NKP4ZU","5/6/09",45,"PGE",18023
"NKP4ZU","6/7/09",30,"PGE",18055
"NKP4ZU","7/7/09",28,"PGE",18085
"NKP4ZU","8/6/09",28,"PGE",18115
"NKP4ZU","9/3/09",27,"PGE",18143
"NKP4ZU","10/5/09",30,"PGE",18175
"NKP4ZU","11/3/09",43,"PGE",18204
"NKP4ZU","12/4/09",102,"PGE",18235
"NKP4ZU","1/5/10",140,"PGE",18267
"NKP4ZU","2/4/10",110,"PGE",18297
"NKP4ZU","3/8/10",103,"PGE",18329
"NKP4ZU","4/7/10",86,"PGE",18359
"NKP4ZU","5/6/10",57,"PGE",18388
"NKP4ZU","6/7/10",57,"PGE",18420
"NKP4ZU","7/7/10",22,"PGE",18450
"NKP4ZU","8/8/10",31,"PGE",18482
"NKP4ZU","9/7/10",34,"PGE",18512
"NKP4ZU","10/6/10",37,"PGE",18541
"NKP4ZU","11/4/10",37,"PGE",18570
"NKP4ZU","12/7/10",149,"PGE",18603
"NKP4ZU","1/5/11",139,"PGE",18632
"NKP4ZU","2/6/11",100,"PGE",18664
"NKP4ZU","3/8/11",139,"PGE",18694
"NKP4ZU","4/6/11",91,"PGE",18723
"NKP4ZU","5/8/11",69,"PGE",18755
"NKP4ZU","6/7/11",74,"PGE",18785
"NKP4ZU","7/7/11",31,"PGE",18815
"NKP4ZU","8/7/11",35,"PGE",18846
"NKP4ZU","9/6/11",26,"PGE",18876
"NKP4ZU","10/5/11",21,"PGE",18905
"NKP4ZU","11/3/11",31,"PGE",18934
"NKP4ZU","12/5/11",103,"PGE",18966
"NKP4ZU","1/5/12",117,"PGE",18997
"NKP4ZU","2/5/12",85,"PGE",19028
"NKP4ZU","3/6/12",83,"PGE",19058
"NKP4ZU","4/4/12",74,"PGE",19087
"NKP4ZU","5/6/12",42,"PGE",19119
"NKP4ZU","6/6/12",30,"PGE",19150
"NKP4ZU","7/6/12",21,"PGE",19180
"NKP4ZU","8/5/12",22,"PGE",19210
"NKP4ZU","9/4/12",26,"PGE",19240
"NKP4ZU","10/3/12",13,"PGE",19269
"NKP4ZU","11/2/12",21,"PGE",19299
"NKP4ZU","12/4/12",70,"PGE",19331
"NKP4ZU","1/4/13",122,"PGE",19362
"NKP4ZU","2/4/13",96,"PGE",19393
"NKP4ZU","3/6/13",67,"PGE",19423
"NKP4ZU","4/4/13",55,"PGE",19452
"NP7PRY","12/24/08",,"PGE",17890
"NP7PRY","1/25/09",100,"PGE",17922
"NP7PRY","2/24/09",81,"PGE",17952
"NP7PRY","3/24/09",56,"PGE",17980
"NP7PRY","4/26/09",39,"PGE",18013
"NP7PRY","5/26/09",15,"PGE",18043
"NP7PRY","6/24/09",10,"PGE",18072
"NP7PRY","7/26/09",7,"PGE",18104
"NP7PRY","8/24/09",9,"PGE",18133
"NP7PRY","9/23/09",9,"PGE",18163
"NP7PRY","10/22/09",16,"PGE",18192
"NP7PRY","11/20/09",40,"PGE",18221
"NP7PRY","12/23/09",94,"PGE",18254
"NP7PRY","1/25/10",107,"PGE",18287
"NP7PRY","2/24/10",62,"PGE",18317
"NP7PRY","3/29/10",45,"PGE",18350
"NP7PRY","4/26/10",42,"PGE",18378
"NP7PRY","5/25/10",28,"PGE",18407
"NP7PRY","6/27/10",14,"PGE",18440
"NP7PRY","7/26/10",12,"PGE",18469
"NP7PRY","8/25/10",12,"PGE",18499
"NP7PRY","9/26/10",12,"PGE",18531
"NP7PRY","10/25/10",15,"PGE",18560
"NP7PRY","11/23/10",39,"PGE",18589
"NP7PRY","12/26/10",80,"PGE",18622
"NP7PRY","1/25/11",94,"PGE",18652
"NP7PRY","2/24/11",79,"PGE",18682
"NP7PRY","3/27/11",68,"PGE",18713
"NP7PRY","4/26/11",32,"PGE",18743
"NP7PRY","5/25/11",19,"PGE",18772
"NP7PRY","6/26/11",22,"PGE",18804
"NP7PRY","7/26/11",12,"PGE",18834
"NP7PRY","8/24/11",14,"PGE",18863
"NP7PRY","9/25/11",14,"PGE",18895
"NP7PRY","10/24/11",16,"PGE",18924
"NP7PRY","11/22/11",50,"PGE",18953
"NP7PRY","12/22/11",85,"PGE",18983
"NP7PRY","1/24/12",92,"PGE",19016
"NP7PRY","2/23/12",62,"PGE",19046
"NP7PRY","3/25/12",54,"PGE",19077
"NP7PRY","4/24/12",32,"PGE",19107
"NP7PRY","5/23/12",17,"PGE",19136
"NP7PRY","6/24/12",16,"PGE",19168
"NP7PRY","7/24/12",16,"PGE",19198
"NP7PRY","8/22/12",15,"PGE",19227
"NP7PRY","9/23/12",11,"PGE",19259
