account_id,station,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid,station_name,_merge
"SEHDPS1526388163","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388163",9,91711,"",,"12/14/2011","12/14/11","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388195","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388195",9,91320,"",,"9/10/2011","9/10/2011","VAN-NUYS_722886",722886,1,"VAN-NUYS","using only (2)"
"SEHDPS1526388196","LONG-BEACH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388196",8,90712,"",,"9/23/2011","9/23/2011","LONG-BEACH_722970",722970,1,"LONG-BEACH","using only (2)"
"SEHDPS1526388203","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388203",9,91030,"",,"9/13/2011","9/13/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388204","LOS-ALAMITOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388204",8,90630,"",,"11/1/2011","11/1/2011","LOS-ALAMITOS_722975",722975,1,"LOS-ALAMITOS","using only (2)"
"SEHDPS1526388207","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388207",9,91104,"",,"10/24/2011","10/24/11","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388260","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388260",9,91711,"",,"12/8/2011","12/8/2011","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388264","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388264",9,91016,"",,"7/3/2012","7/3/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388284","TORRANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388284",6,90717,"",,"6/18/2012","6/18/2012","TORRANCE_722955",722955,1,"TORRANCE","using only (2)"
"SEHDPS1526388315","TORRANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388315",6,90277,"",,"1/17/2012","1/17/2012","TORRANCE_722955",722955,1,"TORRANCE","using only (2)"
"SEHDPS1526388347","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388347",9,91724,"",,"12/27/2011","12/27/11","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388359",9,91724,"",,"2/29/2012","2/29/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388380","SANTA-BARBARA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388380",6,93111,"",,"2/13/2012","2/13/2012","SANTA-BARBARA_723925",723925,1,"SANTA-BARBARA","using only (2)"
"SEHDPS1526388414","TORRANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388414",6,90277,"",,"6/19/2012","6/19/2012","TORRANCE_722955",722955,1,"TORRANCE","using only (2)"
"SEHDPS1526388509","HAWTHORNE-NORTHROP-FLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388509",8,90250,"",,"2/27/2012","2/27/2012","HAWTHORNE-NORTHROP-FLD_722956",722956,1,"HAWTHORNE-NORTHROP-FLD","using only (2)"
"SEHDPS1526388595","TORRANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388595",6,92646,"",,"7/5/2012","7/5/2012","TORRANCE_722955",722955,1,"TORRANCE","using only (2)"
"SEHDPS1526388603","SANTA-MONICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388603",6,90403,"",,"4/5/2012","4/5/2012","SANTA-MONICA_722885",722885,1,"SANTA-MONICA","using only (2)"
"SEHDPS1526388607","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388607",9,91789,"",,"6/22/2012","6/22/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN","using only (2)"
"SEHDPS1526388673","RIVERSIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388673",10,92504,"",,"6/13/2012","6/13/2012","RIVERSIDE_722869",722869,1,"RIVERSIDE","using only (2)"
"SEHDPS1526388858","FULLERTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCE","SEHDPS1526388858",8,90650,"",,"8/27/2012","8/27/2012","FULLERTON_722976",722976,1,"FULLERTON","using only (2)"
