account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"9IC5HT","MARYSVILLE-BEALE-AFB",75,17225,5860,11364.32,"1","MARYSVILLE-BEALE-AFB",12844,-6984,3.331,0.024,7,16nov2011,16may2012,499,790,39.68513,75,-13.99502,19520,19803,12821,0.026,0.766,30,17feb2009,19jul2011,499,462,.9212905,75,8.825276,455,460,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1
"SEHDPS1526388264","SANDBERG",75,5709,4754,954.8696,"11b","SANDBERG",4585,169,0.111,0.040,16,10aug2012,12nov2013,202,630,1.095581,75,.8374991,526,221,4766,0.057,0.212,43,11feb2008,11aug2011,202,344,1.406895,75,4.669276,325,284,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",75,7302,6070,1231.529,"12b","LOS-ANGELES-DOWNTOWN",5930,140,0.061,0.266,22,29feb2012,26nov2013,22,389,2.369749,75,6.375554,369,52,7167,0.073,0.080,44,28mar2008,27sep2011,22,568,3.204215,75,6.123659,536,70,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",75,,,,"13","LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1526215611","VAN-NUYS",75,,,,"14","VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SGHDPS1526215611","6/11/12","9/20/12",91423,9,"VAN-NUYS_722886",722886,1
"SEHDPS1526388932","LOS-ANGELES-DOWNTOWN",75,8025,7477,548.1821,"15","LOS-ANGELES-DOWNTOWN",7187,290,0.057,0.436,27,27sep2011,26nov2013,22,449,3.002678,75,13.19284,424,66,7967,0.077,0.015,42,28mar2008,28jul2011,22,652,3.418587,75,2.671461,619,75,"SEHDPS1526388932","8/9/11","9/17/11",91790,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388512","VAN-NUYS",75,9800,8377,1423.326,"16","VAN-NUYS",7745,632,0.050,0.431,21,07mar2012,04nov2013,265,486,.6287594,75,2.383902,420,167,9417,0.084,0.013,46,05mar2008,04nov2011,265,1002,1.911012,75,1.445449,828,506,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1
"9264652903","CAMP-PENDLETON",75,3941,4013,-72.1123,"17","CAMP-PENDLETON",3988,25,0.069,0.142,9,10jul2012,11mar2013,7,287,3.27763,75,3.523906,278,23,3831,0.032,0.183,40,09feb2009,09may2012,7,131,5.388628,75,15.74134,126,38,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",75,6705,7539,-834.0581,"18b","CAMP-PENDLETON",7406,133,0.192,0.132,10,07jun2012,08mar2013,7,1490,17.29131,75,19.03398,1446,121,6281,0.089,0.359,15,08feb2011,06apr2012,7,618,22.47485,75,60.58846,596,157,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",75,4284,4063,221.135,"19b","SAN-DIEGO-MONTGOMER",3939,124,0.051,0.924,8,06aug2012,07mar2013,13,213,1.116511,75,9.543016,206,15,4205,0.037,0.624,39,05feb2009,05apr2012,13,161,.7764814,75,6.086545,158,10,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",75,4894,5125,-230.6162,"2","LIVERMORE",5324,-200,0.025,0.182,20,13sep2011,11apr2013,75,143,1.333398,75,-2.665014,128,100,4931,0.028,0.007,17,12feb2010,14jun2011,75,142,1.537493,75,-.4957493,138,115,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
"9608731398","SAN-DIEGO-MONTGOMER",75,8870,8654,216.4189,"20","SAN-DIEGO-MONTGOMER",8573,81,0.031,0.653,9,22jun2012,22feb2013,13,275,1.719992,75,6.238845,264,22,8847,0.021,0.093,39,24feb2009,24apr2012,13,192,.9200701,75,1.793294,188,12,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"NKP4ZU","CONCORD",75,8852,7447,1404.456,"3","CONCORD",9057,-1610,0.128,0.137,17,05dec2011,04apr2013,79,418,13.21163,75,-20.38132,956,1044,9074,0.030,0.053,32,04feb2009,06sep2011,79,302,2.172832,75,-2.811084,267,172,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1
"OVYM2X","OAKLAND",75,5201,5712,-510.7837,"4","OAKLAND",5712,0,0.048,0.000,16,20nov2011,21mar2013,0,276,0,75,0,276,0,5201,0.046,0.000,32,21jan2009,22aug2011,0,240,15.79714,75,-.7199425,240,0,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1
"4GY9LD","SAN-JOSE-INTL",75,5296,5413,-117.1602,"5","SAN-JOSE-INTL",5859,-446,0.044,0.157,19,29sep2011,31mar2013,23,145,10.89532,75,-19.39834,239,251,5391,0.018,0.183,29,29jan2009,01jun2011,23,105,1.686837,75,-4.147891,94,39,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1
